Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_shoulder_1,-0.00498481731723841,0.0137517435991431,0.0587564148003501,0,0,0,0.358791437962765,0.00104427174380774,2.00364146722983E-07,2.17146156682329E-06,0.00047270300224328,-2.81381228345816E-05,0.000898680006524921,0,0,0,0,0,0,package://v5_URDF/meshes/left_shoulder_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_shoulder_1.STL,,2-Bend Clamp 1 Long-3;Shoulder Upper Arm Clamp 3mm-2;2-Bend Clamp 1 Long-4;Left shoulder.step-1,Origin_j21,Axis16,j21,revolute,0,0.206244974999998,-0.012250000000019,1.5707963267949,0,3.14159265358979,base_link,0,0,1,0,0,-1.571,1.571,,,,,,,,
left_shoulder_2,5.611878174E-05,-0.0178134227541423,-0.00264857664605147,0,0,0,0.0788967646315721,2.497032236646E-05,1.08200611741564E-10,-5.28927266614562E-11,1.49488267010286E-05,2.11248838599649E-06,2.56896409576934E-05,0,0,0,0,0,0,package://v5_URDF/meshes/left_shoulder_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_shoulder_2.STL,,XM-430 1.4 GB-4;2-Bend Clamp 2 GB Modified-2,Origin_j22,Axis9,j22,revolute,0,0.000324623368871669,0.0970303585666364,3.14159265358979,-1.5707963267949,0,left_shoulder_1,0,0,1,0,0,-0.105,2.269,,,,,,,,
left_shoulder_3,0.00153360627643073,-0.000477621194118035,-0.109902482357076,0,0,0,0.401297766857032,0.00103021181484885,-1.53478980866693E-05,-5.01560498777546E-06,0.00094032189139374,-1.37513321808917E-05,0.000500408011028432,0,0,0,0,0,0,package://v5_URDF/meshes/left_shoulder_3.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_shoulder_3.STL,,XM-430 Motor-15;Upper Arm Internal to Extursion Clamp-3;Upper Arm Extrusion Spacer-5;Upper Arm Internal to Extursion Clamp-4;Upper Arm to Elbow 20x20b Extrusion-2;Upper Arm Extrusion Spacer-6;Elbow Clamp 2mm-7;XM-430 Motor-16;Elbow Clamp 2mm-8;left bicep.step-2,Origin_j23,Axis10,j23,revolute,0.000197322450478765,-0.0552026775494689,0.00797500000000062,1.57079632679491,0,3.14159265358979,left_shoulder_2,0,0,1,0,0,-1.571,1.571,,,,,,,,
left_elbow_1,0.0623831224921948,0.00840974324354837,-0.00241958317085898,0,0,0,0.164627752012669,0.000157239395126284,-4.76081561939847E-06,-4.75167915814644E-07,0.000106208889501223,-2.99750404217899E-06,0.000136882035334267,0,0,0,0,0,0,package://v5_URDF/meshes/left_elbow_1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_elbow_1.STL,,HN12_N101 Horn-19;2-Bend Clamp 1 2mm-2;Elbow to Forearm Clamp 2mm-2;XM-430 Motor-17;left elbow.step-1,Origin_j24,Axis11,j24,revolute,0,-0.000199999999985666,-0.224700000000006,1.5707963267949,1.5707963267949,0,left_shoulder_3,0,1,0,0,0,-1.0472,1.309,,,,,,,,
left_elbow_2,-0.00116960087526097,0.0871271100772432,-0.00166348296458033,0,0,0,0.244439210733274,0.000298192069020658,7.22338272178546E-08,-1.48675431184618E-07,0.000158157979740065,-2.72002085575098E-06,0.000300750386020088,0,0,0,0,0,0,package://v5_URDF/meshes/left_elbow_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_elbow_2.STL,,2-Bend Clamp 2 2mm-2;HN12_N101 Horn-16;Upper Arm Extrusion Spacer-10;Forearm 20x20 Extrusion-2;Upper Arm Extrusion Spacer-9;Elbow Clamp 2mm-9;Elbow Clamp 2mm-10;XM-430 Motor-18;Left forearm.step-1,Origin_j25,Axis12,j25,revolute,0.0975853550987641,0.000297322450554638,0.000197322450540465,0,0,-1.5707963267949,left_elbow_1,0,1,0,0,0,-1.57,1.57,,,,,,,,
left_wrist_1,0.004577239799263,-0.0165514905545454,-2.35897871488436E-08,0,0,0,0.0180647810553896,4.94192902119461E-06,-6.09088197039089E-13,5.69824577833894E-07,2.04164818688615E-06,-9.92920027302345E-13,4.81263492770793E-06,0,0,0,0,0,0,package://v5_URDF/meshes/left_wrist_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_wrist_1.STL,,Wrist Clamp 2mm-3;Wrist Clamp 2mm-4;HN12_N101 Horn-18,Origin_j26,Axis13,j26,revolute,0,0.152052677549566,-0.000297322450548531,0,0,-3.14159265358979,left_elbow_2,1,0,0,0,0,-0.95993,1.5533,,,,,,,,
left_wrist_2,0.000788979606911877,-0.0556665826660349,-0.00218356001110909,0,0,0,0.207514061526763,0.00011878063742872,7.09780918253583E-08,-5.348667933151E-13,0.000142651824468331,2.12781564042068E-08,0.00011690277689932,0,0,0,0,0,0,package://v5_URDF/meshes/left_wrist_2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_wrist_2.STL,,XM-430 Motor-19;HN12_N101 Horn-17;Motor Clamp new MK2-2;Motor Clamp 1 MK2-2;XM-430 Motor-20;Slider MK-2-2,Origin_j27,Axis14,j27,revolute,0.000127322450572731,-0.0449999999999919,0,0,0,0,left_wrist_1,0,0,1,0,0,-1.571,1.571,,,,,,,,
left_finger_1,-0.0128841580955447,0.0341205748371174,-0.0109116868365304,0,0,0,0.0609022601784627,4.82024507201227E-05,-3.17406035690314E-07,1.70407876095635E-06,2.31897350289538E-05,3.40739911357438E-06,3.67679961302716E-05,0,0,0,0,0,0,package://v5_URDF/meshes/left_finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_finger_1.STL,,Finger MK-2-3,Origin_f28,Axis15,f28,prismatic,0.048429203299978,-0.0798000000000137,-0.012727322450562,-3.14159265358978,0,0,left_wrist_2,1,0,0,0,0,-0.024,0,,,,,,,,
left_finger_2,-0.0128841580620748,0.0341205748801486,-0.0109116869153437,0,0,0,0.0609022599124918,4.82024505958164E-05,-3.17406017338057E-07,1.70407872657131E-06,2.31897349198971E-05,3.40739906139009E-06,3.67679960822E-05,0,0,0,0,0,0,package://v5_URDF/meshes/left_finger_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v5_URDF/meshes/left_finger_2.STL,,Finger MK-2-4,Origin_f29,Axis15,f29,prismatic,-0.0468360049026447,-0.0798000000000124,0.0126726775494417,0,0,3.14159265358979,left_wrist_2,-1,0,0,0,0,-0.024,0,,,,,,,,
neck_yaw,2.8929E-11,0.0095177,2.4362E-08,0,0,0,0.02475,2.4429E-06,-8.0473E-15,-5.5356E-15,6.7824E-06,-8.6546E-13,7.5925E-06,0,0,0,0,0,0,package://v5_URDF/meshes/neck_yaw.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://v5_URDF/meshes/neck_yaw.STL,,HN12_N101 Horn-13;FR12-H101K Clone-1,Origin_j31,Axis17,j31,revolute,0.00875,0,0.1486,1.5708,0,1.5708,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
neck_pitch,0.18995,-0.013103,0.00089041,0,0,0,0.78791,0.0046773,0.0007712,5.0088E-05,0.0087386,4.9381E-05,0.0086581,0,0,0,0,0,0,package://v5_URDF/meshes/neck_pitch.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v5_URDF/meshes/neck_pitch.STL,,XM-430 Motor-14;Head.step-1,Origin_j_32,Axis18,j_32,revolute,0,0.030398,0,-1.5708,0,1.5708,neck_yaw,0,0,1,0,0,-0.52,0.52,,,,,,,,
camera,-0.000479,2.7843E-05,-0.012566,0,0,0,1.2669,0.00011453,-4.0383E-08,-1.1341E-05,0.0007716,-2.0551E-07,0.00076373,0,0,0,0,0,0,package://v5_URDF/meshes/camera.STL,0,1,0,1,0,0,0,0,0,0,package://v5_URDF/meshes/camera.STL,,D435i-1,Camera_frame,,j33,fixed,0.23949,-0.10418,0.0015188,-0.34907,-1.5533,1.3204,neck_pitch,0,0,0,,,,,,,,,,,,
