Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TCP_right,-0.0015672,0.094125,-0.011891,0,0,0,0.044249,1.1735E-05,9.3247E-17,5.2439E-15,1.0448E-05,-1.3502E-07,6.8411E-06,0,0,0,0,0,0,package://v2/meshes/TCP_right.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/TCP_right.STL,,XM-430 Motor-6,Coordinate System14,,f20,fixed,0.0011999,-0.15225,0.0001,0,0,0,right_wrist_2,0,0,0,,,,,,,,,,,,
left_shoulder_1,-0.0049857501902087,0.0137524952547104,0.0587572320972712,0,0,0,0.358782813844843,0.00104422940437889,2.08051993755647E-07,2.17656866286087E-06,0.000472682880572099,-2.81176059809368E-05,0.000898651882511114,0,0,0,0,0,0,package://v2/meshes/left_shoulder_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v2/meshes/left_shoulder_1.STL,,2-Bend Clamp 1 Long-3;Shoulder Upper Arm Clamp 3mm-2;2-Bend Clamp 1 Long-4;Left shoulder.step-1,Origin_j21,Axis16,j21,revolute,0,0.20624,-0.01225,1.5708,0,3.1416,base_link,0,0,1,0,0,-1.571,1.571,,,,,,,,
left_shoulder_2,5.61187468452462E-05,-0.0178134228583,-0.00264857656869752,0,0,0,0.0788967649028279,2.49703225893493E-05,1.08156421265975E-10,-5.28232534883046E-11,1.49488268898139E-05,2.11248848525123E-06,2.56896410530115E-05,0,0,0,0,0,0,package://v2/meshes/left_shoulder_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v2/meshes/left_shoulder_2.STL,,XM-430 1.4 GB-4;2-Bend Clamp 2 GB Modified-2,Origin_j22,Axis9,j22,revolute,0,0.00032462,0.09703,3.1416,-1.5708,0,left_shoulder_1,0,0,1,0,0,-0.105,2.269,,,,,,,,
left_shoulder_3,0.00153384059162964,-0.000477788960257259,-0.109902565481454,0,0,0,0.401297704857678,0.00103021380160831,-1.53477838772287E-05,-5.015820017537E-06,0.000940323644878223,-1.37514112585448E-05,0.000500408380721754,0,0,0,0,0,0,package://v2/meshes/left_shoulder_3.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/left_shoulder_3.STL,,XM-430 Motor-15;Upper Arm Internal to Extursion Clamp-3;Upper Arm Extrusion Spacer-5;Upper Arm Internal to Extursion Clamp-4;Upper Arm to Elbow 20x20b Extrusion-2;Upper Arm Extrusion Spacer-6;Elbow Clamp 2mm-7;XM-430 Motor-16;Elbow Clamp 2mm-8;left bicep.step-2,Origin_j23,Axis10,j23,revolute,0.00019732,-0.055203,0.007975,1.5708,0,3.1416,left_shoulder_2,0,0,1,0,0,-1.571,1.571,,,,,,,,
left_elbow_1,0.062383,0.0084098,-0.0024196,0,0,0,0.16463,0.00015724,-4.7608E-06,-4.7517E-07,0.00010621,-2.9976E-06,0.00013688,0,0,0,0,0,0,package://v2/meshes/left_elbow_1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://v2/meshes/left_elbow_1.STL,,HN12_N101 Horn-19;2-Bend Clamp 1 2mm-2;Elbow to Forearm Clamp 2mm-2;XM-430 Motor-17;left elbow.step-1,Origin_j24,Axis11,j24,revolute,0,-0.0002,-0.2247,1.5708,1.5708,0,left_shoulder_3,0,1,0,0,0,-1.0472,1.309,,,,,,,,
left_elbow_2,-0.0011696,0.087127,-0.0016635,0,0,0,0.24444,0.00029819,7.2235E-08,-1.4867E-07,0.00015816,-2.72E-06,0.00030075,0,0,0,0,0,0,package://v2/meshes/left_elbow_2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://v2/meshes/left_elbow_2.STL,,2-Bend Clamp 2 2mm-2;HN12_N101 Horn-16;Upper Arm Extrusion Spacer-10;Forearm 20x20 Extrusion-2;Upper Arm Extrusion Spacer-9;Elbow Clamp 2mm-9;Elbow Clamp 2mm-10;XM-430 Motor-18;Left forearm.step-1,Origin_j25,Axis12,j25,revolute,0.097585,0.00029732,0.00019732,0,0,-1.5708,left_elbow_1,0,1,0,0,0,-1.57,1.57,,,,,,,,
left_wrist_1,0.00457723979926472,-0.0165514905545523,-2.35897933851745E-08,0,0,0,0.0180647810553899,4.94192902119465E-06,-6.09088191652879E-13,5.69824577833892E-07,2.04164818688616E-06,-9.92920035386434E-13,4.81263492770797E-06,0,0,0,0,0,0,package://v2/meshes/left_wrist_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v2/meshes/left_wrist_1.STL,,Wrist Clamp 2mm-3;Wrist Clamp 2mm-4;HN12_N101 Horn-18,Origin_j26,Axis13,j26,revolute,0,0.15205,-0.00029732,0,0,-3.1416,left_elbow_2,1,0,0,0,0,-0.95993,1.5533,,,,,,,,
left_wrist_2,0.000788979606919149,-0.055666582666037,-0.00218356001111897,0,0,0,0.207514061526779,0.00011878063742872,7.09780918245431E-08,-5.34866445799489E-13,0.000142651824468333,2.12781564042283E-08,0.000116902776899321,0,0,0,0,0,0,package://v2/meshes/left_wrist_2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/left_wrist_2.STL,,XM-430 Motor-19;HN12_N101 Horn-17;Motor Clamp new MK2-2;Motor Clamp 1 MK2-2;XM-430 Motor-20;Slider MK-2-2,Origin_j27,Axis14,j27,revolute,0.00012732,-0.045,0,0,0,0,left_wrist_1,0,0,1,0,0,-1.571,1.571,,,,,,,,
left_finger_1,-0.0128841580955371,0.0341205748371213,-0.0109116868365215,0,0,0,0.0609022601784625,4.82024507201225E-05,-3.17406035690335E-07,1.70407876095633E-06,2.31897350289537E-05,3.40739911357427E-06,3.67679961302715E-05,0,0,0,0,0,0,package://v2/meshes/left_finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v2/meshes/left_finger_1.STL,,Finger MK-2-3,Origin_f28,Axis15,f28,prismatic,0.048429,-0.0798,-0.012727,-3.1416,0,0,left_wrist_2,1,0,0,0,0,-0.024,0,,,,,,,,
left_finger_2,-0.012884,0.034121,-0.010912,0,0,0,0.060902,4.8202E-05,-3.1741E-07,1.7041E-06,2.319E-05,3.4074E-06,3.6768E-05,0,0,0,0,0,0,package://v2/meshes/left_finger_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v2/meshes/left_finger_2.STL,,Finger MK-2-4,Origin_f29,Axis15,f29,prismatic,-0.046836,-0.0798,0.012673,0,0,3.1416,left_wrist_2,-1,0,0,0,0,-0.024,0,,,,,,,,
TCP_Left,-0.0015932,0.084125,-0.011891,0,0,0,0.044249,1.1735E-05,9.333E-17,5.2435E-15,1.0448E-05,-1.3502E-07,6.8411E-06,0,0,0,0,0,0,package://v2/meshes/TCP_Left.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/TCP_Left.STL,,XM-430 Motor-20,Coordinate System15,,f30,fixed,0.0015932,-0.14225,-2.7322E-05,0,0,0,left_wrist_2,0,0,0,,,,,,,,,,,,
neck_yaw,0.0037771,3.8856E-05,-0.17267,0,0,0,5.9028,0.22527,1.3971E-05,-0.004597,0.17962,8.0187E-06,0.082972,0,0,0,0,0,0,package://v2/meshes/neck_yaw.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/neck_yaw.STL,,HN12_N101 Horn-13;FR12-H101K Clone-1,Origin_j31,Axis17,j31,continuous,0.00874999999999426,0,0.148599999999878,1.5707963267949,0,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
neck_pitch,0.18995327259288,-0.0131031967427848,0.000890437014171956,0,0,0,0.787905683224849,0.00467731270981544,0.000771203389471464,5.00883842325664E-05,0.00873859272883155,4.93815969107255E-05,0.00865811113078056,0,0,0,0,0,0,package://v2/meshes/neck_pitch.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/neck_pitch.STL,,XM-430 Motor-14;Head.step-1,Origin_j32,Axis18,j32,continuous,0,0.030398,0,-1.5708,0,1.5708,neck_yaw,0,0,1,,,,,,,,,,,,
camera,-0.000478999773069349,2.78432486923164E-05,-0.0125656891446742,0,0,0,1.2668823887858,0.000114532673034269,-4.03826831889083E-08,-1.13414879211854E-05,0.000771595759092053,-2.05507807170692E-07,0.000763733507848299,0,0,0,0,0,0,package://v2/meshes/camera.STL,0,1,0,1,0,0,0,0,0,0,package://v2/meshes/camera.STL,,D435i-1,Camera_frame,,j33,fixed,0.23949,-0.10418,0.0015188,-0.34907,-1.5533,1.3204,neck_pitch,0,0,0,,,,,,,,,,,,
